2022-01-09 18:46:47.455 [JavaFX Application Thread] ERROR pl.first.sudoku.SudokuBoard - Musi być <1,9> 
2022-01-09 18:46:58.470 [JavaFX Application Thread] ERROR pl.first.sudoku.SudokuBoard - Musi być <1,9> 
2022-01-09 18:46:59.038 [JavaFX Application Thread] ERROR pl.first.sudoku.SudokuBoard - Musi być <1,9> 
2022-01-09 18:46:59.335 [JavaFX Application Thread] ERROR pl.first.sudoku.SudokuBoard - Musi być <1,9> 
2022-01-09 18:47:02.927 [JavaFX Application Thread] ERROR pl.first.sudoku.SudokuBoard - Musi być <1,9> 
2022-01-09 18:47:03.205 [JavaFX Application Thread] ERROR pl.first.sudoku.SudokuBoard - Musi być <1,9> 
2022-01-09 18:47:03.285 [JavaFX Application Thread] ERROR pl.first.sudoku.SudokuBoard - Musi być <1,9> 
2022-01-09 18:47:03.437 [JavaFX Application Thread] ERROR pl.first.sudoku.SudokuBoard - Musi być <1,9> 
2022-01-09 18:47:03.589 [JavaFX Application Thread] ERROR pl.first.sudoku.SudokuBoard - Musi być <1,9> 
2022-01-09 18:47:03.621 [JavaFX Application Thread] ERROR pl.first.sudoku.SudokuBoard - Musi być <1,9> 
2022-01-09 18:47:03.765 [JavaFX Application Thread] ERROR pl.first.sudoku.SudokuBoard - Musi być <1,9> 
2022-01-09 18:47:03.837 [JavaFX Application Thread] ERROR pl.first.sudoku.SudokuBoard - Musi być <1,9> 
2022-01-09 18:47:03.989 [JavaFX Application Thread] ERROR pl.first.sudoku.SudokuBoard - Musi być <1,9> 
2022-01-09 18:47:04.069 [JavaFX Application Thread] ERROR pl.first.sudoku.SudokuBoard - Musi być <1,9> 
2022-01-09 18:47:05.093 [JavaFX Application Thread] ERROR pl.first.sudoku.SudokuBoard - Nie można usunąć pliku który nie istnieje. 
2022-01-09 20:40:12.106 [JavaFX Application Thread] ERROR pl.first.sudoku.SudokuBoard - Musi być <1,9> 
2022-01-09 20:40:13.929 [JavaFX Application Thread] ERROR pl.first.sudoku.SudokuBoard - Musi być <1,9> 
2022-01-09 20:40:14.177 [JavaFX Application Thread] ERROR pl.first.sudoku.SudokuBoard - Musi być <1,9> 
2022-01-09 20:40:14.345 [JavaFX Application Thread] ERROR pl.first.sudoku.SudokuBoard - Musi być <1,9> 
2022-01-09 20:40:14.521 [JavaFX Application Thread] ERROR pl.first.sudoku.SudokuBoard - Musi być <1,9> 
2022-01-09 21:07:50.328 [JavaFX Application Thread] ERROR pl.first.sudoku.SudokuBoard - Musi być <1,9> 
2022-01-09 21:07:50.502 [JavaFX Application Thread] ERROR pl.first.sudoku.SudokuBoard - Musi być <1,9> 
2022-01-09 21:07:50.670 [JavaFX Application Thread] ERROR pl.first.sudoku.SudokuBoard - Musi być <1,9> 
2022-01-09 21:07:50.830 [JavaFX Application Thread] ERROR pl.first.sudoku.SudokuBoard - Musi być <1,9> 
2022-01-09 21:07:51.566 [JavaFX Application Thread] ERROR pl.first.sudoku.SudokuBoard - Musi być <1,9> 
2022-01-09 21:07:51.606 [JavaFX Application Thread] ERROR pl.first.sudoku.SudokuBoard - Musi być <1,9> 
2022-01-09 21:07:52.487 [JavaFX Application Thread] ERROR pl.first.sudoku.SudokuBoard - Musi być <1,9> 
2022-01-09 21:07:52.654 [JavaFX Application Thread] ERROR pl.first.sudoku.SudokuBoard - Musi być <1,9> 
2022-01-09 21:07:53.959 [JavaFX Application Thread] ERROR pl.first.sudoku.SudokuBoard - Musi być <1,9> 
2022-01-09 21:07:53.961 [JavaFX Application Thread] ERROR pl.first.sudoku.SudokuBoard - Musi być <1,9> 
2022-01-09 21:07:54.094 [JavaFX Application Thread] ERROR pl.first.sudoku.SudokuBoard - Musi być <1,9> 
2022-01-09 21:07:54.238 [JavaFX Application Thread] ERROR pl.first.sudoku.SudokuBoard - Musi być <1,9> 
2022-01-09 21:07:55.919 [JavaFX Application Thread] ERROR pl.first.sudoku.SudokuBoard - Musi być <1,9> 
2022-01-09 21:12:56.242 [JavaFX Application Thread] ERROR pl.first.sudoku.SudokuBoard - Musi być <1,9> 
2022-01-09 21:24:25.799 [JavaFX Application Thread] ERROR pl.first.sudoku.SudokuBoard - Musi być <1,9> 
2022-01-09 21:24:34.476 [JavaFX Application Thread] ERROR pl.first.sudoku.SudokuBoard - Musi być <1,9> 
2022-01-09 21:24:38.636 [JavaFX Application Thread] ERROR pl.first.sudoku.SudokuBoard - Musi być <1,9> 
2022-01-09 21:24:38.676 [JavaFX Application Thread] ERROR pl.first.sudoku.SudokuBoard - Musi być <1,9> 
2022-01-09 21:24:38.844 [JavaFX Application Thread] ERROR pl.first.sudoku.SudokuBoard - Musi być <1,9> 
2022-01-09 21:24:38.885 [JavaFX Application Thread] ERROR pl.first.sudoku.SudokuBoard - Musi być <1,9> 
2022-01-09 21:24:38.892 [JavaFX Application Thread] ERROR pl.first.sudoku.SudokuBoard - Musi być <1,9> 
2022-01-09 21:24:44.644 [JavaFX Application Thread] ERROR pl.first.sudoku.SudokuBoard - Musi być <1,9> 
2022-01-09 21:26:57.136 [JavaFX Application Thread] ERROR pl.first.sudoku.SudokuBoard - Musi być <1,9> 
2022-01-09 21:26:57.853 [JavaFX Application Thread] ERROR pl.first.sudoku.SudokuBoard - Musi być <1,9> 
2022-01-09 21:26:58.037 [JavaFX Application Thread] ERROR pl.first.sudoku.SudokuBoard - Musi być <1,9> 
2022-01-09 21:26:58.205 [JavaFX Application Thread] ERROR pl.first.sudoku.SudokuBoard - Musi być <1,9> 
2022-01-09 21:26:58.397 [JavaFX Application Thread] ERROR pl.first.sudoku.SudokuBoard - Musi być <1,9> 
2022-01-09 21:27:09.993 [JavaFX Application Thread] ERROR pl.first.sudoku.SudokuBoard - Musi być <1,9> 
2022-01-09 21:27:11.741 [JavaFX Application Thread] ERROR pl.first.sudoku.SudokuBoard - Musi być <1,9> 
2022-01-09 21:27:18.605 [JavaFX Application Thread] ERROR pl.first.sudoku.SudokuBoard - Musi być <1,9> 
2022-01-09 21:27:20.620 [JavaFX Application Thread] ERROR pl.first.sudoku.SudokuBoard - Musi być <1,9> 
2022-01-09 21:27:30.156 [JavaFX Application Thread] ERROR pl.first.sudoku.SudokuBoard - Musi być <1,9> 
2022-01-09 21:27:31.132 [JavaFX Application Thread] ERROR pl.first.sudoku.SudokuBoard - Musi być <1,9> 
2022-01-09 21:27:32.196 [JavaFX Application Thread] ERROR pl.first.sudoku.SudokuBoard - Musi być <1,9> 
2022-01-09 21:27:32.859 [JavaFX Application Thread] ERROR pl.first.sudoku.SudokuBoard - Musi być <1,9> 
2022-01-09 21:27:33.379 [JavaFX Application Thread] ERROR pl.first.sudoku.SudokuBoard - Musi być <1,9> 
2022-01-09 21:27:33.628 [JavaFX Application Thread] ERROR pl.first.sudoku.SudokuBoard - Musi być <1,9> 
2022-01-09 21:27:35.964 [JavaFX Application Thread] ERROR pl.first.sudoku.SudokuBoard - Musi być <1,9> 
2022-01-09 21:27:37.971 [JavaFX Application Thread] ERROR pl.first.sudoku.SudokuBoard - Musi być <1,9> 
2022-01-09 21:27:45.408 [JavaFX Application Thread] ERROR pl.first.sudoku.SudokuBoard - Musi być <1,9> 
2022-01-09 21:27:51.069 [JavaFX Application Thread] ERROR pl.first.sudoku.SudokuBoard - Musi być <1,9> 
